Date,Open,High,Low,Close,Volume,Market Cap
Oct-06-2021,51500.06,55556.80,50416.73,55385.45,77199761550,996348281001
Oct-05-2021,49273.71,51785.32,49066.92,51545.05,68596958151,942701045366
Oct-04-2021,48186.65,49425.78,47004.99,49176.76,60738746937,906668798743
Oct-03-2021,47674.37,49163.40,47217.72,48144.15,47566767232,903971729927
Oct-02-2021,48147.57,48247.94,47467.84,47710.52,60614023324,900563548593
Oct-01-2021,43767.70,48388.04,43346.02,48080.37,63060539364,866976038909
Sep-30-2021,41536.59,44032.29,41466.71,43797.59,54175087118,814537665340
Sep-29-2021,41004.60,42564.99,40902.25,41543.64,50405842858,787462238462
Sep-28-2021,42111.84,42732.02,40909.31,40909.31,51750097181,789471244170
Sep-27-2021,43204.96,44237.91,42262.02,42278.31,51031440798,819023980137
Sep-26-2021,42670.36,43740.02,40775.92,43209.87,46581943142,804930001509
Sep-25-2021,42803.64,42964.07,41707.49,42718.94,66894799872,801353904600
Sep-24-2021,44863.42,45032.89,40926.94,42748.04,68753344062,811470261988
Sep-23-2021,43536.04,44908.10,43121.95,44844.23,67141167915,829450862937
Sep-22-2021,40718.99,43928.43,40718.99,43579.97,101514436494,800930040691
Sep-21-2021,42832.28,43525.14,39870.48,40538.43,85540318436,798979735863
Sep-20-2021,47236.51,47236.51,42569.41,42966.01,72526282809,840040904099
Sep-19-2021,48310.07,48349.97,46969.99,47201.50,51351781646,898130000198
Sep-18-2021,47281.12,48748.53,47095.66,48210.78,52242868759,907532428987
Sep-17-2021,47762.12,48128.16,46871.89,47197.55,53341337586,895175270898
Sep-16-2021,48150.01,48445.90,47028.25,47816.25,59031345166,901061187443
Sep-15-2021,47068.49,48406.68,46779.28,48092.97,68721306041,894934521116
Sep-14-2021,44932.42,47173.67,44836.99,47012.91,77498384327,866007100849
Sep-13-2021,46057.42,46249.99,43389.23,44990.02,65135996772,842638247794
Sep-12-2021,45136.64,46381.79,44759.75,46058.00,48187149198,858416002995
Sep-11-2021,44852.16,45910.02,44808.38,45096.05,55353657422,853423500160
Sep-10-2021,46376.46,47022.95,44238.30,44833.08,55572355650,863815094640
Sep-09-2021,46051.38,47214.45,45638.97,46319.95,67899230933,873008832614
Sep-08-2021,46778.31,47282.87,44516.48,45972.95,106991221447,870520273387
Sep-07-2021,52668.62,52871.69,43753.23,46882.00,82249292260,939586811269
Sep-06-2021,51747.23,52707.17,50987.36,52639.24,59320284405,973527553044
Sep-05-2021,49914.75,51832.95,49488.18,51698.73,53857252210,946435855097
Sep-04-2021,50001.53,50525.79,49515.98,49974.10,66721901412,941241509428
Sep-03-2021,49289.90,50999.98,48483.78,49987.64,75273290556,938164581711
Sep-02-2021,48829.97,50315.57,48713.46,49318.56,68777141351,933396767981
Sep-01-2021,47131.56,48930.01,46549.02,48744.63,60738599083,896181279581
Aug-31-2021,46973.53,48071.29,46721.18,47225.27,56943712626,889195144814
Aug-30-2021,48763.42,48822.33,46972.98,47020.68,48179454138,903670570541
Aug-29-2021,48879.93,49549.81,48002.01,48876.76,48229478486,914254355209
Aug-28-2021,49042.18,49255.70,48483.46,48864.02,53492946569,918698539921
Aug-27-2021,46838.86,49075.82,46359.98,49005.95,57376285724,896916691457
Aug-26-2021,48987.11,49327.99,46471.71,47130.62,63803503263,889986412585
Aug-25-2021,47680.94,49158.39,47167.02,48939.97,60151994652,906908256405
Aug-24-2021,49540.11,49828.04,47734.03,47734.03,65083046848,919046656036
Aug-23-2021,49279.95,50444.80,49095.00,49486.40,63427233892,937077207548
Aug-22-2021,48845.55,49451.47,48231.35,49223.95,54305803375,918252636934
Aug-21-2021,49307.46,49685.09,48344.59,49000.42,66932790904,920956990034
Aug-20-2021,46753.21,49290.63,46669.50,49270.61,64823787278,897465475109
Aug-19-2021,44752.50,46907.20,43977.69,46666.87,57015323932,849460246208
Aug-18-2021,44681.52,45892.68,44342.73,44856.03,74813786340,847896521851
Aug-17-2021,45942.60,47029.60,44569.56,44569.56,76216552899,863499932236
Aug-16-2021,47056.27,47968.20,45669.48,45906.74,66521713775,881240961278
Aug-15-2021,47056.98,47320.04,45608.97,47057.49,60388411065,871847138944
Aug-14-2021,47794.49,48083.79,46151.36,47053.51,63747047794,884526105405
Aug-13-2021,44399.98,47799.97,44259.27,47799.97,66684585358,867420364756
Aug-12-2021,45554.78,46204.28,43889.57,44434.34,80625549753,843658955882
Aug-11-2021,45587.99,46698.79,45384.82,45670.17,65924957909,865313524335
Aug-10-2021,46306.07,46510.72,44647.94,45543.92,72283654172,856134898663
Aug-09-2021,43793.25,46433.79,42875.92,46265.47,74184672057,842714141698
Aug-08-2021,44598.25,45262.11,43332.66,43780.24,75737447467,832151493680
Aug-07-2021,42775.46,44665.77,42690.13,44665.77,74440143149,817328586552
Aug-06-2021,40863.40,42997.39,39960.04,42792.79,70411983531,776250570813
Aug-05-2021,39740.03,41286.96,37462.50,40849.95,59042920661,740145761053
Aug-04-2021,38200.89,39940.05,37616.06,39772.47,55749176732,726853585219
Aug-03-2021,39178.22,39651.21,37817.15,38255.05,58660971022,722087350783
Aug-02-2021,39918.96,40368.21,38759.76,39153.01,66317530652,743370673763
Aug-01-2021,41582.56,42475.97,39657.25,40120.70,58507194382,778532262681
Jul-31-2021,42278.66,42278.66,41142.88,41701.00,73216348004,781288809338
Jul-30-2021,39990.47,42094.78,38371.28,42094.78,58156415289,743518127669
Jul-29-2021,40016.36,40542.05,39339.66,39993.53,71065073252,747876722584
Jul-28-2021,39454.99,40816.35,38937.84,39999.97,86298185116,747991262254
Jul-27-2021,37292.76,39204.30,36462.03,39184.61,88056814919,706886857255
Jul-26-2021,35340.07,40497.99,35321.90,37211.42,84057801560,718521334087
Jul-25-2021,34245.84,35244.40,33899.70,35227.35,40433578091,644752032174
Jul-24-2021,33577.41,34484.24,33432.42,34211.77,48296097849,635148001917
Jul-23-2021,32293.94,33506.09,32075.86,33506.09,43696585344,609309809498
Jul-22-2021,32129.59,32489.11,31734.31,32338.55,54591578894,602767264602
Jul-21-2021,29801.49,32766.06,29541.54,32142.94,50268395206,585072482636
Jul-20-2021,30813.64,30944.29,29354.71,29759.93,47087937607,559670772835
Jul-19-2021,31771.72,31882.70,30553.73,30851.95,36608378155,584947899229
Jul-18-2021,31513.00,32372.27,31309.97,31813.00,35431331812,595821087427
Jul-17-2021,31382.29,31887.17,31207.82,31570.17,39981969159,591794208880
Jul-16-2021,31750.78,32181.80,31110.21,31385.55,54022773717,595476652908
Jul-15-2021,32824.59,33141.40,31206.51,31641.45,55759464576,602118163098
Jul-14-2021,32716.29,33046.03,31717.78,32776.14,47348114517,609145086950
Jul-13-2021,33149.99,33285.78,32272.67,32567.57,54416065045,616022524218
Jul-12-2021,34224.74,34561.15,32707.30,33219.35,59765045362,631940462199
Jul-11-2021,33511.52,34534.33,33324.92,34249.77,55801800861,633661622140
Jul-10-2021,33813.49,34215.52,33139.69,33548.82,66022713756,631995994564
Jul-09-2021,32896.81,34037.43,32321.36,33866.20,76918683136,621900214875
Jul-08-2021,33868.69,33868.69,32094.25,32837.96,66246736882,616771714032
Jul-07-2021,34220.71,34955.62,33861.41,33867.47,57955368704,647785958080
Jul-06-2021,33691.17,35046.03,33648.66,34106.81,61017993116,640276009208
Jul-05-2021,35308.20,35308.20,33125.60,33866.54,50617003705,639199767237
Jul-04-2021,34674.44,35920.38,34400.03,35312.39,38805155755,661282250051
Jul-03-2021,33803.88,34884.82,33402.30,34698.30,40253461669,642886925899
Jul-02-2021,33504.93,33861.64,32781.65,33846.01,53898509084,623898253988
Jul-01-2021,35019.70,35019.70,32869.75,33628.67,55957183185,632116199378
Jun-30-2021,35857.88,36081.63,34140.02,35060.43,57470426223,654591266168
Jun-29-2021,34472.11,36470.00,34266.76,35840.39,58783976277,666182520525
Jun-28-2021,34622.00,35103.57,33989.95,34439.12,56438771250,646021908097
Jun-27-2021,32274.97,34579.03,32102.58,34579.03,60510865624,619229331443
